Code,Description,Procedure_Category,Is_Top_Pareto
10383002,Counseling for termination of pregnancy,Counseling/FollowUp,false
104091002,Hemoglobin / Hematocrit / Platelet count,General,true
104326007,Measurement of Varicella-zoster virus antibody,General,false
104375008,Hepatitis C antibody test,General,false
104435004,Screening for occult blood in feces (procedure),Assessment,false
112790001,Nasal sinus endoscopy (procedure),General,false
112798008,Insertion of endotracheal tube (procedure),General,false
11466000,Cesarean section,General,false
117010004,Urine culture,General,false
117015009,Throat culture (procedure),General,false
118001005,Streptococcus pneumoniae group B antigen test,General,false
1225002,Upper arm X-ray,General,false
122548005,Biopsy of breast (procedure),General,false
127783003,Spirometry (procedure),General,false
14768001,Peripheral blood smear interpretation,General,false
15081005,Pulmonary rehabilitation (regime/therapy),General,false
1571000087109,Ultrasonography of bilateral breasts (procedure),General,false
162676008,Brief general examination (procedure),Assessment,false
16335031000119104,High resolution computed tomography of chest without contrast (procedure),General,true
165829005,Gonorrhea infection test,General,false
167271000,Urine protein test,General,false
168594001,Clavicle X-ray,General,false
169230002,Ultrasound scan for fetal viability,General,false
169553002,Insertion of subcutaneous contraceptive,General,false
169673001,Antenatal RhD antibody screening,Assessment,false
169690007,Rubella screening,Assessment,false
171207006,Depression screening (procedure),Assessment,false
173160006,Diagnostic fiberoptic bronchoscopy (procedure),General,false
180325003,Electrical cardioversion,General,true
18286008,Catheter ablation of tissue of heart,General,false
183418007,Social case work (regime/therapy),General,false
185087000,Notifications (procedure),General,true
18946005,Epidural anesthesia,General,false
19490002,Ankle X-ray,General,false
200619008,Comprehensive interview and evaluation (procedure),General,false
225158009,Auscultation of the fetal heart,General,true
22523008,Vasectomy,General,false
225386006,Pre-discharge assessment (procedure),Assessment,false
229064008,Movement therapy (regime/therapy),General,true
232717009,Coronary artery bypass grafting,General,false
23426006,Measurement of respiratory function (procedure),General,false
236974004,Instrumental delivery,General,false
237001001,Augmentation of labor,General,false
241055006,Mammogram - symptomatic (procedure),General,false
24623002,Screening mammography (procedure),Assessment,false
252160004,Standard pregnancy test,General,false
261352009,Face mask (physical object),General,false
265764009,Renal dialysis (procedure),General,true
26763009,Controlled ventilation procedure and therapy initiation and management (procedure),General,false
268425006,Pelvis X-ray,General,false
268556000,Urine screening for glucose,Assessment,false
269828009,Syphilis infection test,General,false
269911007,Sputum examination (procedure),Assessment,false
271442007,Fetal anatomy study,General,false
274031008,Rectal polypectomy,General,false
274474001,Bone immobilization,General,false
274804006,Evaluation of uterine fundal height,General,true
275833003,Alpha-fetoprotein test,General,false
28163009,Skin test for tuberculosis,General,false
287664005,Bilateral tubal ligation,General,false
288086009,Suture open wound,General,false
29303009,Electrocardiographic procedure,General,false
301807007,Removal of subcutaneous contraceptive,General,false
305351004,Admit to ICU (procedure),General,false
305428000,Admission to orthopedic department,General,false
310417005,Certification procedure (procedure),General,true
310861008,Chlamydia antigen test,General,false
311555007,Speech and language therapy regime (regime/therapy,General,false
311791003,Information gathering (procedure),General,false
31208007,Medical induction of labor,General,false
312681000,Bone density scan (procedure),General,true
315639002,Initial patient assessment (procedure),Assessment,true
31676001,Human immunodeficiency virus antigen test,General,false
33195004,Teleradiotherapy procedure (procedure),General,true
35025007,Manual pelvic examination (procedure),Assessment,false
367336001,Chemotherapy (procedure),General,false
370789001,Development of individualized plan of care (procedure),General,true
371908008,Oxygen administration by mask (procedure),General,false
384700001,Injection of tetanus antitoxin,General,false
385763009,Hospice care (regime/therapy),General,true
385781007,Home health aide service (regime/therapy),General,false
386394001,Pregnancy termination care,General,false
392091000,Care regimes assessment (procedure),Assessment,false
395123002,Urine screening test for diabetes,Assessment,false
396487001,Sentinel lymph node biopsy (procedure),General,false
398171003,Hearing examination (procedure),Assessment,true
