Code,Description,Procedure_Category,Is_Top_Pareto
10383002,Counseling for termination of pregnancy,Unknown,false
104091002,Hemoglobin / Hematocrit / Platelet count,Unknown,true
104326007,Measurement of Varicella-zoster virus antibody,Unknown,false
104375008,Hepatitis C antibody test,Unknown,false
104435004,Screening for occult blood in feces (procedure),Unknown,false
112790001,Nasal sinus endoscopy (procedure),Unknown,false
112798008,Insertion of endotracheal tube (procedure),Unknown,false
11466000,Cesarean section,Unknown,false
117010004,Urine culture,Unknown,false
117015009,Throat culture (procedure),Unknown,false
118001005,Streptococcus pneumoniae group B antigen test,Unknown,false
1225002,Upper arm X-ray,Unknown,false
122548005,Biopsy of breast (procedure),Unknown,false
127783003,Spirometry (procedure),Unknown,false
14768001,Peripheral blood smear interpretation,Unknown,false
15081005,Pulmonary rehabilitation (regime/therapy),Unknown,false
1571000087109,Ultrasonography of bilateral breasts (procedure),Unknown,false
162676008,Brief general examination (procedure),Unknown,false
16335031000119104,High resolution computed tomography of chest without contrast (procedure),Unknown,true
165829005,Gonorrhea infection test,Unknown,false
167271000,Urine protein test,Unknown,false
168594001,Clavicle X-ray,Unknown,false
169230002,Ultrasound scan for fetal viability,Unknown,false
169553002,Insertion of subcutaneous contraceptive,Unknown,false
169673001,Antenatal RhD antibody screening,Unknown,false
169690007,Rubella screening,Unknown,false
171207006,Depression screening,Unknown,false
173160006,Diagnostic fiberoptic bronchoscopy (procedure),Unknown,false
180325003,Electrical cardioversion,Unknown,true
18286008,Catheter ablation of tissue of heart,Unknown,false
183418007,Social case work (regime/therapy),Unknown,false
185087000,Notifications (procedure),Unknown,true
18946005,Epidural anesthesia,Unknown,false
19490002,Ankle X-ray,Unknown,false
200619008,Comprehensive interview and evaluation (procedure),Unknown,false
225158009,Auscultation of the fetal heart,Unknown,true
22523008,Vasectomy,Unknown,false
225386006,Pre-discharge assessment (procedure),Unknown,false
229064008,Movement therapy (regime/therapy),Unknown,true
232717009,Coronary artery bypass grafting,Unknown,false
23426006,Measurement of respiratory function (procedure),Unknown,false
236974004,Instrumental delivery,Unknown,false
237001001,Augmentation of labor,Unknown,false
241055006,Mammogram - symptomatic (procedure),Unknown,false
24623002,Screening mammography (procedure),Unknown,false
252160004,Standard pregnancy test,Unknown,false
261352009,Face mask (physical object),Unknown,false
265764009,Renal dialysis (procedure),Unknown,true
26763009,Controlled ventilation procedure and therapy initiation and management (procedure),Unknown,false
268425006,Pelvis X-ray,Unknown,false
268556000,Urine screening for glucose,Unknown,false
269828009,Syphilis infection test,Unknown,false
269911007,Sputum examination (procedure),Unknown,false
271442007,Fetal anatomy study,Unknown,false
274031008,Rectal polypectomy,Unknown,false
274474001,Bone immobilization,Unknown,false
274804006,Evaluation of uterine fundal height,Unknown,true
275833003,Alpha-fetoprotein test,Unknown,false
