Date_Key,Date,Year,Month,DayOfWeek
19961222,1996-12-22,1996,12,Sun
20130909,2013-09-09,2013,9,Mon
20010516,2001-05-16,2001,5,Wed
20070420,2007-04-20,2007,4,Fri
20050116,2005-01-16,2005,1,Sun
19910730,1991-07-30,1991,7,Tue
19771106,1977-11-06,1977,11,Sun
20071115,2007-11-15,2007,11,Thu
20140926,2014-09-26,2014,9,Fri
20211011,2021-10-11,2021,10,Mon
20200824,2020-08-24,2020,8,Mon
20130326,2013-03-26,2013,3,Tue
20210827,2021-08-27,2021,8,Fri
20190604,2019-06-04,2019,6,Tue
20190508,2019-05-08,2019,5,Wed
20211113,2021-11-13,2021,11,Sat
19951024,1995-10-24,1995,10,Tue
20120417,2012-04-17,2012,4,Tue
20150519,2015-05-19,2015,5,Tue
20130521,2013-05-21,2013,5,Tue
19911109,1991-11-09,1991,11,Sat
19760624,1976-06-24,1976,6,Thu
20100811,2010-08-11,2010,8,Wed
20160301,2016-03-01,2016,3,Tue
20071123,2007-11-23,2007,11,Fri
19540705,1954-07-05,1954,7,Mon
20210622,2021-06-22,2021,6,Tue
20130122,2013-01-22,2013,1,Tue
20091122,2009-11-22,2009,11,Sun
20211218,2021-12-18,2021,12,Sat
19560119,1956-01-19,1956,1,Thu
20210127,2021-01-27,2021,1,Wed
20000703,2000-07-03,2000,7,Mon
20170911,2017-09-11,2017,9,Mon
19930711,1993-07-11,1993,7,Sun
19851121,1985-11-21,1985,11,Thu
19800522,1980-05-22,1980,5,Thu
19910326,1991-03-26,1991,3,Tue
20180810,2018-08-10,2018,8,Fri
19490509,1949-05-09,1949,5,Mon
19551015,1955-10-15,1955,10,Sat
19620211,1962-02-11,1962,2,Sun
19370114,1937-01-14,1937,1,Thu
19800923,1980-09-23,1980,9,Tue
19601118,1960-11-18,1960,11,Fri
20220727,2022-07-27,2022,7,Wed
20110506,2011-05-06,2011,5,Fri
19750614,1975-06-14,1975,6,Sat
20070419,2007-04-19,2007,4,Thu
19721220,1972-12-20,1972,12,Wed
20190922,2019-09-22,2019,9,Sun
20090809,2009-08-09,2009,8,Sun
20090927,2009-09-27,2009,9,Sun
20080715,2008-07-15,2008,7,Tue
20200805,2020-08-05,2020,8,Wed
20220802,2022-08-02,2022,8,Tue
20130919,2013-09-19,2013,9,Thu
20191101,2019-11-01,2019,11,Fri
19920311,1992-03-11,1992,3,Wed
20040727,2004-07-27,2004,7,Tue
20021115,2002-11-15,2002,11,Fri
19970808,1997-08-08,1997,8,Fri
19940616,1994-06-16,1994,6,Thu
20180606,2018-06-06,2018,6,Wed
19680923,1968-09-23,1968,9,Mon
20201129,2020-11-29,2020,11,Sun
20031111,2003-11-11,2003,11,Tue
20150306,2015-03-06,2015,3,Fri
19480701,1948-07-01,1948,7,Thu
20040223,2004-02-23,2004,2,Mon
20221129,2022-11-29,2022,11,Tue
20001119,2000-11-19,2000,11,Sun
19740303,1974-03-03,1974,3,Sun
20211002,2021-10-02,2021,10,Sat
19781101,1978-11-01,1978,11,Wed
19770124,1977-01-24,1977,1,Mon
20211125,2021-11-25,2021,11,Thu
19940207,1994-02-07,1994,2,Mon
19790708,1979-07-08,1979,7,Sun
20090628,2009-06-28,2009,6,Sun
19770107,1977-01-07,1977,1,Fri
19780319,1978-03-19,1978,3,Sun
20120717,2012-07-17,2012,7,Tue
19940612,1994-06-12,1994,6,Sun
19350103,1935-01-03,1935,1,Thu
20220519,2022-05-19,2022,5,Thu
19730727,1973-07-27,1973,7,Fri
20150409,2015-04-09,2015,4,Thu
20191121,2019-11-21,2019,11,Thu
20200430,2020-04-30,2020,4,Thu
19740709,1974-07-09,1974,7,Tue
19891208,1989-12-08,1989,12,Fri
20110821,2011-08-21,2011,8,Sun
20181102,2018-11-02,2018,11,Fri
19740607,1974-06-07,1974,6,Fri
20020423,2002-04-23,2002,4,Tue
20180901,2018-09-01,2018,9,Sat
20180626,2018-06-26,2018,6,Tue
19601012,1960-10-12,1960,10,Wed
19530902,1953-09-02,1953,9,Wed
20050803,2005-08-03,2005,8,Wed
20180811,2018-08-11,2018,8,Sat
19710601,1971-06-01,1971,6,Tue
20160726,2016-07-26,2016,7,Tue
20161003,2016-10-03,2016,10,Mon
20130202,2013-02-02,2013,2,Sat
20061201,2006-12-01,2006,12,Fri
20180808,2018-08-08,2018,8,Wed
20000309,2000-03-09,2000,3,Thu
19880218,1988-02-18,1988,2,Thu
20160503,2016-05-03,2016,5,Tue
19401109,1940-11-09,1940,11,Sat
20160815,2016-08-15,2016,8,Mon
19900324,1990-03-24,1990,3,Sat
20100816,2010-08-16,2010,8,Mon
20181005,2018-10-05,2018,10,Fri
20030328,2003-03-28,2003,3,Fri
20180909,2018-09-09,2018,9,Sun
19551017,1955-10-17,1955,10,Mon
19730624,1973-06-24,1973,6,Sun
20080201,2008-02-01,2008,2,Fri
20051004,2005-10-04,2005,10,Tue
20031207,2003-12-07,2003,12,Sun
20060228,2006-02-28,2006,2,Tue
20200828,2020-08-28,2020,8,Fri
20140801,2014-08-01,2014,8,Fri
20150902,2015-09-02,2015,9,Wed
19790721,1979-07-21,1979,7,Sat
19960122,1996-01-22,1996,1,Mon
19530808,1953-08-08,1953,8,Sat
20160831,2016-08-31,2016,8,Wed
19700909,1970-09-09,1970,9,Wed
20170928,2017-09-28,2017,9,Thu
20210720,2021-07-20,2021,7,Tue
19900814,1990-08-14,1990,8,Tue
20210730,2021-07-30,2021,7,Fri
20220622,2022-06-22,2022,6,Wed
20220129,2022-01-29,2022,1,Sat
20060209,2006-02-09,2006,2,Thu
20201004,2020-10-04,2020,10,Sun
19890608,1989-06-08,1989,6,Thu
19800812,1980-08-12,1980,8,Tue
19801130,1980-11-30,1980,11,Sun
19500713,1950-07-13,1950,7,Thu
20220526,2022-05-26,2022,5,Thu
20220618,2022-06-18,2022,6,Sat
19990626,1999-06-26,1999,6,Sat
20210512,2021-05-12,2021,5,Wed
19930907,1993-09-07,1993,9,Tue
20180630,2018-06-30,2018,6,Sat
20210429,2021-04-29,2021,4,Thu
20140603,2014-06-03,2014,6,Tue
20210914,2021-09-14,2021,9,Tue
19780617,1978-06-17,1978,6,Sat
